Employee_ID,Job_Role,Age,Gender,Monthly_Income,Job_Satisfaction,Work_Life_Balance,Years_at_Company
EMP-00395,Data Scientist,42,Female,10406,4,2,14
EMP-00404,Manager,43,Male,6877,3,2,15
EMP-00409,Software Engineer,42,Female,9724,3,1,10
EMP-00412,Sales Executive,38,Male,10089,1,2,14
EMP-00419,Manager,36,Female,6209,3,3,12
EMP-00420,HR Specialist,35,Male,8758,4,3,15
EMP-00421,Software Engineer,40,Female,9553,3,2,19
EMP-00423,Sales Executive,40,Male,7768,3,4,13
EMP-00435,Analyst,41,Male,10366,2,1,4
EMP-00439,Sales Executive,40,Male,9616,1,2,12
EMP-00447,Software Engineer,28,Male,6895,1,1,4
EMP-00449,HR Specialist,45,Female,8820,3,3,24
EMP-00470,Data Scientist,35,Female,6514,2,3,11
EMP-00496,Manager,41,Male,7274,2,3,20
EMP-00497,HR Specialist,42,Female,8165,3,4,19
EMP-00505,Sales Executive,35,Female,6249,1,4,12
EMP-00509,Manager,49,Male,10925,3,2,25
EMP-00512,Analyst,41,Female,7007,4,2,13
EMP-00525,Sales Executive,36,Female,9693,2,2,12
EMP-00528,Data Scientist,43,Male,11635,1,3,8
EMP-00554,Data Scientist,30,Female,6260,1,2,5
EMP-00558,Data Scientist,38,Male,9505,2,3,16
EMP-00559,HR Specialist,44,Female,8964,2,3,9
EMP-00560,Software Engineer,43,Female,11767,1,2,23
EMP-00566,Analyst,48,Female,11683,3,2,24
EMP-00583,Manager,40,Male,9375,3,3,14
EMP-00588,Manager,39,Male,9487,4,2,10
EMP-00593,Sales Executive,44,Male,7785,3,2,17
EMP-00602,Manager,45,Female,11519,2,3,15
EMP-00605,Data Scientist,28,Female,8349,2,1,7
EMP-00609,HR Specialist,35,Female,6303,1,3,13
EMP-00612,Manager,58,Male,14038,3,1,29
EMP-00615,Sales Executive,42,Male,9157,2,2,17
EMP-00622,Manager,48,Female,11167,3,2,21
EMP-00623,HR Specialist,43,Male,8731,3,4,17
EMP-00628,Data Scientist,26,Male,7027,2,1,6
EMP-00629,Sales Executive,37,Female,10199,3,3,11
EMP-00638,Software Engineer,40,Male,10077,3,2,15
EMP-00642,Manager,48,Female,8768,4,3,18
EMP-00643,Software Engineer,53,Female,10605,4,1,32
EMP-00656,Software Engineer,38,Female,6733,4,1,14
EMP-00661,HR Specialist,43,Female,10848,2,3,19
EMP-00664,Software Engineer,30,Male,5948,1,2,6
EMP-00699,Analyst,42,Male,9071,2,3,21
EMP-00703,HR Specialist,57,Male,13478,4,3,32
EMP-00705,Data Scientist,36,Female,8737,3,3,10
EMP-00708,Data Scientist,40,Female,9234,4,4,19
EMP-00709,Data Scientist,28,Male,5316,1,3,5
EMP-00718,Data Scientist,31,Male,6817,4,2,8
EMP-00722,Sales Executive,40,Female,7484,3,3,17
EMP-00725,Data Scientist,35,Female,9203,1,2,12
EMP-00745,HR Specialist,42,Female,9660,3,4,20
EMP-00751,HR Specialist,47,Female,7211,2,2,8
EMP-00763,Manager,30,Male,9186,3,1,7
EMP-00769,Analyst,36,Male,5843,1,2,7
EMP-00786,Sales Executive,44,Female,10652,4,1,24
EMP-00789,Software Engineer,33,Male,6650,3,3,12
EMP-00791,Data Scientist,46,Female,8121,1,2,16
EMP-00795,Software Engineer,48,Male,12839,3,4,19
EMP-00802,HR Specialist,44,Female,9226,2,3,12
EMP-00818,HR Specialist,38,Male,9393,1,2,15
EMP-00825,Analyst,41,Male,8115,3,1,11
EMP-00838,Data Scientist,46,Male,8537,3,4,22
EMP-00839,Sales Executive,28,Female,7657,1,3,8
EMP-00846,Software Engineer,43,Male,7273,2,2,22
EMP-00849,Manager,35,Female,6593,2,3,7
EMP-00857,Manager,43,Female,9638,2,2,17
EMP-00862,Analyst,41,Female,7918,3,4,16
EMP-00866,Manager,36,Male,6622,3,2,15
EMP-00868,HR Specialist,51,Female,12804,1,3,27
EMP-00871,Manager,48,Male,10328,3,4,26
EMP-00872,Software Engineer,30,Male,7849,1,1,5
EMP-00874,Software Engineer,44,Male,9871,3,2,8
EMP-00878,Manager,33,Male,10105,1,3,12
EMP-00905,Data Scientist,39,Male,6926,4,3,18
EMP-00907,Sales Executive,40,Female,10113,4,1,14
EMP-00914,Sales Executive,36,Female,6486,1,4,8
EMP-00943,Data Scientist,44,Female,11059,2,1,11
EMP-00947,Data Scientist,22,Male,3000,1,1,0
EMP-00959,Software Engineer,38,Female,8929,4,2,13
EMP-00963,Data Scientist,35,Female,8774,3,2,14
EMP-00968,Sales Executive,39,Female,9214,1,4,19
EMP-00977,Manager,37,Female,10285,3,4,15
EMP-00983,Data Scientist,34,Male,7328,4,2,11
EMP-00988,Analyst,45,Female,8539,3,4,18
EMP-00997,Sales Executive,28,Male,5996,1,1,3
EMP-00998,Manager,34,Male,5715,2,1,13
EMP-01015,HR Specialist,39,Female,7939,4,2,14
EMP-01031,Data Scientist,37,Female,8667,3,3,13
EMP-01042,Data Scientist,34,Male,6399,4,2,9
EMP-01045,Sales Executive,36,Male,11189,1,4,15
EMP-01053,Software Engineer,44,Male,11414,4,3,19
EMP-01055,Analyst,39,Male,8049,3,4,13
EMP-01069,Manager,31,Female,6356,3,2,9
EMP-01070,HR Specialist,47,Female,10483,1,2,11
EMP-01077,Analyst,32,Female,7514,3,1,8
EMP-01083,Manager,44,Female,8470,3,3,16
EMP-01089,Data Scientist,30,Female,5970,2,2,7
EMP-01097,HR Specialist,49,Male,8154,3,4,26
EMP-01100,Analyst,38,Female,8608,4,3,13
EMP-01106,Manager,40,Male,7767,4,3,16
EMP-01109,Sales Executive,56,Female,10347,3,2,28
EMP-01113,HR Specialist,43,Male,8248,3,3,17
EMP-01121,Data Scientist,42,Female,10530,4,3,12
EMP-01123,Data Scientist,41,Female,10572,4,2,17
EMP-01144,Data Scientist,37,Female,7807,3,4,16
EMP-01145,Manager,40,Female,9567,1,1,16
EMP-01152,Data Scientist,45,Male,10422,3,3,17
EMP-01156,Software Engineer,41,Male,11080,3,3,19
EMP-01158,Sales Executive,39,Male,9900,2,3,16
EMP-01159,Analyst,50,Male,8918,4,3,19
EMP-01161,Manager,34,Female,6522,4,2,14
EMP-01165,HR Specialist,31,Male,6564,4,3,10
EMP-01166,Software Engineer,45,Female,9185,3,3,21
EMP-01171,Software Engineer,39,Female,6591,2,1,11
EMP-01181,Manager,53,Male,11120,2,2,16
EMP-01204,Manager,35,Male,10123,1,2,6
EMP-01206,Analyst,45,Female,11653,3,2,19
EMP-01208,Sales Executive,35,Male,9324,3,3,14
EMP-01210,Manager,36,Male,6765,4,3,12
EMP-01217,Software Engineer,27,Female,4676,1,4,7
EMP-01218,Data Scientist,32,Male,9455,3,1,8
EMP-01225,Manager,43,Female,10391,2,2,20
EMP-01231,Data Scientist,41,Male,7472,4,3,21
EMP-01233,Manager,37,Male,10143,3,2,14
EMP-01235,Data Scientist,47,Female,7711,3,4,26
EMP-01251,Manager,34,Male,8901,1,2,10
EMP-01252,Analyst,44,Male,8534,4,3,20
EMP-01257,HR Specialist,40,Female,8727,2,3,11
EMP-01258,Analyst,44,Female,8978,2,2,14
EMP-01259,Sales Executive,40,Male,8498,3,2,20
EMP-01279,Manager,34,Female,8348,1,3,10
EMP-01304,HR Specialist,38,Female,7639,1,1,12
EMP-01307,Sales Executive,42,Male,9714,1,2,17
EMP-01314,Sales Executive,39,Male,7164,4,4,15
EMP-01322,Manager,47,Female,8200,3,2,20
EMP-01323,Sales Executive,44,Male,8312,3,1,13
EMP-01329,Manager,60,Female,11537,4,2,30
EMP-01357,HR Specialist,34,Male,8740,4,3,14
EMP-01358,Software Engineer,42,Female,9870,3,3,18
EMP-01359,Software Engineer,44,Female,9563,3,4,17
EMP-01365,Software Engineer,45,Male,7942,4,1,16
EMP-01390,Analyst,40,Female,10697,2,3,18
EMP-01393,Data Scientist,31,Male,8639,4,1,8
EMP-01398,Manager,40,Female,10037,3,2,18
EMP-01403,Data Scientist,36,Male,7959,4,3,13
EMP-01404,Sales Executive,47,Female,9467,3,3,25
EMP-01413,Software Engineer,35,Female,8603,2,1,6
EMP-01420,Manager,51,Female,7952,4,3,14
EMP-01425,Software Engineer,39,Male,8558,4,4,16
EMP-01426,Data Scientist,39,Female,10769,3,4,16
EMP-01430,Sales Executive,39,Female,7712,3,2,16
EMP-01433,Software Engineer,33,Female,9489,2,4,9
EMP-01441,Software Engineer,31,Male,6993,3,3,11
EMP-01442,Sales Executive,43,Female,10406,3,3,22
EMP-01459,Data Scientist,39,Female,7454,4,2,14
EMP-01477,Analyst,42,Female,7873,1,2,18
EMP-01487,HR Specialist,27,Male,5670,2,2,6
EMP-01500,Sales Executive,47,Female,12341,4,3,19
EMP-01506,HR Specialist,42,Female,9771,3,2,20
EMP-01512,Data Scientist,34,Male,10438,2,1,10
EMP-01528,Manager,36,Female,7932,4,3,16
EMP-01530,Software Engineer,41,Male,7010,1,3,6
EMP-01532,HR Specialist,38,Male,10157,1,3,10
EMP-01533,Data Scientist,45,Female,9424,3,1,23
EMP-01542,HR Specialist,31,Male,4981,1,2,5
EMP-01551,Sales Executive,43,Male,10210,2,4,15
EMP-01552,HR Specialist,41,Male,6256,1,2,10
EMP-01555,Software Engineer,43,Female,9400,3,3,12
EMP-01571,Analyst,45,Female,8250,2,2,18
EMP-01573,Data Scientist,34,Male,8750,2,2,8
EMP-01582,HR Specialist,37,Female,10343,2,4,13
EMP-01584,HR Specialist,39,Female,10080,2,3,17
EMP-01587,Data Scientist,40,Female,7806,2,2,11
EMP-01597,Analyst,42,Male,10162,3,3,13
EMP-01598,Sales Executive,42,Female,9492,1,1,21
EMP-01603,Manager,32,Male,7179,1,2,10
EMP-01613,Data Scientist,44,Female,7937,2,2,19
EMP-01618,Software Engineer,33,Male,9811,3,3,11
EMP-01621,Analyst,47,Female,10987,4,2,25
EMP-01640,HR Specialist,36,Male,7812,3,2,11
EMP-01647,Sales Executive,53,Male,7934,1,4,15
EMP-01653,Software Engineer,39,Female,9601,4,2,16
EMP-01654,HR Specialist,33,Female,7115,1,2,6
EMP-01665,Manager,34,Female,6979,4,2,11
EMP-01668,Analyst,36,Male,7784,1,2,12
EMP-01677,Data Scientist,38,Male,8289,3,2,14
EMP-01678,Sales Executive,45,Female,8714,3,3,14
EMP-01692,Manager,47,Female,11958,3,3,20
EMP-01693,Analyst,39,Male,11652,2,2,14
EMP-01701,Software Engineer,46,Female,10949,2,2,15
EMP-01704,HR Specialist,42,Female,8636,2,3,18
EMP-01705,HR Specialist,39,Male,9126,1,3,17
EMP-01738,HR Specialist,40,Male,10535,3,2,19
EMP-01740,Sales Executive,43,Female,9118,3,2,17
EMP-01742,Analyst,43,Female,10567,1,2,9
EMP-01750,Analyst,42,Female,7417,3,2,10
EMP-01757,HR Specialist,44,Female,8378,4,2,16
EMP-01768,Analyst,27,Male,7831,2,3,7
EMP-01772,Sales Executive,49,Male,11381,2,3,28
EMP-01781,Analyst,39,Female,10173,1,4,9
EMP-01783,Manager,31,Female,8043,1,2,4
EMP-01785,Manager,42,Female,6899,1,1,9
EMP-01790,Analyst,35,Male,6414,1,3,4
EMP-01797,Manager,32,Male,7815,1,2,8
EMP-01800,Software Engineer,43,Female,7165,4,3,20
EMP-01801,Data Scientist,38,Female,6106,2,2,12
EMP-01804,Software Engineer,37,Male,6673,3,3,10
EMP-01808,Analyst,35,Male,9599,2,3,13
EMP-01814,HR Specialist,32,Female,8344,2,2,12
EMP-01818,Software Engineer,45,Female,11896,2,4,24
EMP-01822,Data Scientist,37,Female,10547,3,3,12
EMP-01826,Manager,36,Female,9038,3,2,14
EMP-01830,HR Specialist,40,Male,6045,2,3,14
EMP-01834,HR Specialist,43,Male,6856,2,1,21
EMP-01837,Data Scientist,33,Female,8431,1,3,9
EMP-01838,Analyst,46,Female,10409,2,4,10
EMP-01844,Manager,30,Female,5689,3,1,8
EMP-01848,HR Specialist,44,Male,8815,4,2,20
EMP-01852,Manager,46,Male,8114,3,3,20
EMP-01854,HR Specialist,42,Female,10749,4,3,20
EMP-01856,Software Engineer,39,Female,6515,3,2,17
EMP-01857,Analyst,43,Female,7463,2,1,13
EMP-01864,Data Scientist,47,Male,10498,2,3,23
EMP-01874,Manager,34,Male,7694,3,2,9
EMP-01878,Manager,45,Female,9940,4,1,19
EMP-01886,Software Engineer,39,Male,9434,4,2,13
EMP-01889,HR Specialist,38,Female,6509,2,3,17
EMP-01898,Sales Executive,31,Male,8291,4,2,10
EMP-01912,Software Engineer,40,Male,9793,3,3,13
EMP-01917,Software Engineer,38,Female,8677,2,4,14
EMP-01920,Manager,34,Male,8973,1,2,9
EMP-01924,Analyst,29,Female,9601,2,1,5
EMP-01931,Software Engineer,45,Male,7431,2,1,22
EMP-01937,HR Specialist,43,Female,11645,2,4,18
EMP-01945,Analyst,28,Female,9660,2,1,8
EMP-01955,Software Engineer,44,Male,10378,2,4,20
EMP-01963,Sales Executive,36,Female,7554,2,1,15
EMP-01970,HR Specialist,35,Male,8605,2,4,9
EMP-01976,Sales Executive,49,Female,9220,2,1,13
EMP-01977,Software Engineer,36,Female,8380,1,3,12
EMP-01979,HR Specialist,40,Female,7350,3,1,12
EMP-01985,Sales Executive,31,Female,8869,3,1,10
EMP-01993,Analyst,35,Male,7159,2,1,13
EMP-02006,Manager,34,Female,9335,2,1,12
EMP-02014,Sales Executive,39,Female,7737,2,4,14
EMP-02024,Analyst,51,Male,13226,2,3,10
EMP-02042,Manager,36,Male,11527,4,2,14
EMP-02048,Data Scientist,32,Male,6014,1,2,7
EMP-02055,HR Specialist,46,Male,8725,4,1,18
EMP-02058,Manager,33,Female,9075,3,2,10
EMP-02067,Analyst,38,Male,10890,2,1,12
EMP-02075,Data Scientist,39,Male,8990,2,2,16
EMP-02080,Software Engineer,37,Female,10858,2,3,11
EMP-02081,Software Engineer,32,Female,5427,2,3,9
EMP-02099,Software Engineer,30,Female,8941,2,3,8
EMP-02100,Software Engineer,39,Female,9920,3,2,13
EMP-02107,Software Engineer,37,Female,10127,1,2,9
EMP-02109,Software Engineer,40,Male,9895,4,2,13
EMP-02115,Sales Executive,32,Male,7979,2,1,5
EMP-02116,Software Engineer,46,Female,8144,4,2,20
EMP-02119,Analyst,47,Female,9854,2,2,22
EMP-02120,Sales Executive,41,Male,8513,1,2,19
EMP-02130,Analyst,43,Female,10036,3,4,15
EMP-02132,HR Specialist,37,Male,6244,3,3,7
EMP-02133,Sales Executive,39,Male,8272,2,1,17
EMP-02135,Sales Executive,47,Male,10914,2,3,22
EMP-02138,Data Scientist,44,Male,10115,3,4,23
EMP-02148,Manager,46,Female,11766,3,2,23
EMP-02157,Analyst,37,Male,6638,2,3,9
EMP-02161,Sales Executive,41,Male,6879,4,2,15
EMP-02165,Analyst,45,Female,11486,3,3,19
EMP-02168,Analyst,42,Female,9897,4,3,12
EMP-02169,Analyst,46,Female,9544,1,3,21
EMP-02170,Manager,42,Male,9308,4,1,13
EMP-02173,Software Engineer,40,Male,9190,1,1,16
EMP-02174,Software Engineer,32,Female,8340,3,2,10
EMP-02183,Manager,34,Male,10425,1,1,10
EMP-02191,Sales Executive,41,Male,11152,1,1,21
EMP-02205,Manager,39,Male,8037,3,3,15
EMP-02206,Software Engineer,60,Male,13375,3,1,20
EMP-02207,Data Scientist,28,Male,6192,2,4,7
EMP-02209,HR Specialist,46,Male,8475,3,3,25
EMP-02219,Software Engineer,35,Male,8794,2,2,10
EMP-02239,HR Specialist,39,Male,11081,4,3,17
EMP-02242,Sales Executive,35,Female,8551,1,3,10
EMP-02248,Manager,32,Female,8055,2,2,6
EMP-02253,Analyst,39,Male,8044,2,3,17
EMP-02254,Data Scientist,37,Female,7172,3,2,17
EMP-02260,Analyst,36,Female,10579,2,3,11
EMP-02262,Manager,34,Female,7148,4,1,11
EMP-02276,HR Specialist,44,Female,12829,2,2,20
EMP-02294,HR Specialist,39,Female,10063,2,2,11
EMP-02299,Manager,46,Female,8598,4,3,24
EMP-02302,Software Engineer,49,Female,10577,4,2,23
EMP-02319,Analyst,33,Female,10663,1,2,8
EMP-02322,Data Scientist,40,Female,8368,1,2,14
EMP-02325,Manager,38,Male,9624,3,1,9
EMP-02328,Software Engineer,45,Female,11929,3,3,18
EMP-02332,HR Specialist,49,Female,10456,3,3,12
EMP-02333,Software Engineer,35,Female,6914,3,2,15
EMP-02338,Software Engineer,34,Female,6001,2,2,7
EMP-02340,Manager,45,Male,10857,4,1,18
EMP-02341,HR Specialist,38,Male,8140,3,3,13
EMP-02353,Analyst,44,Female,9732,2,3,12
EMP-02354,Sales Executive,40,Female,10674,3,1,8
EMP-02370,HR Specialist,38,Female,7820,2,1,7
EMP-02373,Analyst,34,Male,9464,2,2,8
EMP-02374,Manager,34,Male,5966,1,2,8
EMP-02376,Software Engineer,32,Male,5828,4,4,11
EMP-02377,Manager,47,Female,8006,3,3,21
EMP-02380,Analyst,31,Female,7797,4,2,9
EMP-02381,HR Specialist,42,Male,6994,4,4,14
EMP-02386,Analyst,36,Male,9324,4,1,14
EMP-02397,HR Specialist,45,Female,10150,2,3,19
EMP-02413,Sales Executive,33,Female,7512,1,1,3
EMP-02421,Manager,33,Female,6289,1,2,11
EMP-02426,Data Scientist,43,Male,11216,1,2,11
EMP-02427,HR Specialist,33,Male,10304,1,2,6
EMP-02435,Manager,33,Male,8394,4,1,9
EMP-02436,Software Engineer,56,Male,9433,4,3,35
EMP-02445,Software Engineer,46,Female,12002,3,3,25
EMP-02446,Analyst,44,Female,9644,3,3,16
EMP-02451,HR Specialist,36,Male,6901,2,3,7
EMP-02477,Sales Executive,44,Male,8959,2,2,18
EMP-02480,Manager,40,Female,8035,2,3,10
EMP-02481,HR Specialist,38,Male,10003,4,2,14
EMP-02485,Analyst,38,Female,6817,2,2,14
EMP-02491,HR Specialist,41,Male,7517,3,3,13
EMP-02497,Sales Executive,52,Female,10421,2,3,15
EMP-02507,Sales Executive,45,Male,11649,1,1,13
EMP-02511,HR Specialist,29,Male,6132,3,1,8
EMP-02512,Sales Executive,48,Female,8558,3,2,18
EMP-02528,Manager,42,Male,8286,4,2,14
EMP-02530,Software Engineer,37,Female,9345,4,3,11
EMP-02546,HR Specialist,43,Female,7815,1,1,8
EMP-02547,Analyst,44,Female,9060,4,2,13
EMP-02554,HR Specialist,34,Male,8859,2,3,12
EMP-02555,Software Engineer,34,Male,7010,3,2,11
EMP-02566,HR Specialist,29,Female,4881,3,2,9
EMP-02574,Software Engineer,40,Male,9832,2,1,17
EMP-02575,HR Specialist,37,Female,10189,4,2,8
EMP-02579,Data Scientist,47,Male,12601,1,2,22
EMP-02581,Software Engineer,43,Female,9619,2,3,16
EMP-02590,Analyst,49,Female,7960,2,4,16
EMP-02594,Sales Executive,39,Male,7016,3,3,14
EMP-02613,Manager,32,Female,7424,2,1,6
EMP-02614,Data Scientist,49,Male,11523,2,3,15
EMP-02630,Sales Executive,31,Male,9421,3,2,9
EMP-02632,Sales Executive,41,Female,8569,3,3,18
EMP-02637,Software Engineer,33,Male,6104,3,3,13
EMP-02638,Analyst,35,Female,7439,3,4,15
EMP-02651,Sales Executive,34,Male,9575,3,2,9
EMP-02653,HR Specialist,43,Male,9437,3,3,18
EMP-02662,Software Engineer,37,Female,7486,2,3,15
EMP-02669,Sales Executive,50,Female,10994,3,1,19
EMP-02675,Analyst,38,Male,11140,1,2,10
EMP-02677,Software Engineer,37,Female,9199,3,3,12
EMP-02680,Software Engineer,38,Female,9685,4,3,14
EMP-02689,Data Scientist,44,Female,10849,3,3,17
EMP-02697,Data Scientist,45,Male,10536,3,3,16
EMP-02701,Data Scientist,37,Male,7913,2,3,11
EMP-02709,Data Scientist,42,Female,11064,3,2,17
EMP-02714,HR Specialist,47,Female,9761,2,1,19
EMP-02715,Analyst,45,Female,9273,2,3,22
EMP-02717,Software Engineer,47,Male,8231,3,3,20
EMP-02721,Analyst,46,Female,9608,3,2,17
EMP-02722,Data Scientist,41,Female,8435,1,1,15
EMP-02730,Sales Executive,51,Male,12416,3,2,25
EMP-02739,Manager,41,Male,7768,2,3,17
EMP-02749,Analyst,34,Female,8816,1,1,10
EMP-02767,Software Engineer,46,Male,9998,3,1,9
EMP-02786,Manager,43,Male,7204,2,2,18
EMP-02790,Data Scientist,35,Male,9297,3,2,15
EMP-02795,Analyst,33,Female,10081,3,2,9
EMP-02805,Sales Executive,42,Female,8030,1,2,12
EMP-02808,Analyst,39,Male,7927,4,3,13
EMP-02817,Analyst,39,Female,10204,1,2,10
EMP-02818,Analyst,44,Female,9923,2,2,10
EMP-02823,Data Scientist,46,Male,10603,3,1,24
EMP-02828,Manager,47,Female,10829,2,2,27
EMP-02838,Analyst,46,Female,11468,4,2,14
EMP-02847,Sales Executive,38,Female,6798,4,3,16
EMP-02856,Data Scientist,36,Male,9155,1,3,10
EMP-02861,Software Engineer,42,Female,8932,4,2,20
EMP-02865,Data Scientist,42,Female,9498,2,2,11
EMP-02868,Analyst,40,Female,6361,1,4,15
EMP-02870,Analyst,33,Male,6803,3,3,11
EMP-02883,Data Scientist,39,Female,10491,3,1,17
EMP-02887,Analyst,34,Male,9352,1,2,7
EMP-02888,HR Specialist,39,Female,6848,1,3,13
EMP-02891,Analyst,37,Female,5770,4,2,7
EMP-02908,Sales Executive,32,Female,9077,4,2,9
EMP-02909,Analyst,48,Female,11478,3,3,17
EMP-02912,Data Scientist,33,Female,9802,3,3,11
EMP-02915,HR Specialist,32,Male,5741,1,2,7
EMP-02918,Data Scientist,42,Female,10666,2,2,16
EMP-02919,HR Specialist,39,Male,10129,4,2,12
EMP-02929,Data Scientist,50,Male,11251,1,3,13
EMP-02931,Manager,40,Female,8081,4,3,17
EMP-02946,Manager,36,Male,8026,2,3,11
EMP-02951,Sales Executive,34,Female,10394,1,3,12
EMP-02954,Manager,40,Female,8133,3,3,20
EMP-02966,Software Engineer,41,Female,10097,2,2,19
EMP-02981,Sales Executive,44,Male,7870,2,2,15
EMP-02983,Analyst,41,Male,10679,2,4,12
EMP-02986,Analyst,40,Male,8116,4,2,16
EMP-02987,Sales Executive,33,Male,9157,3,2,12
EMP-02988,HR Specialist,35,Female,10700,3,1,6
EMP-03002,HR Specialist,43,Female,9027,2,1,18
EMP-03008,Manager,36,Male,9049,2,4,12
EMP-03010,Analyst,36,Male,10097,2,1,6
EMP-03012,Data Scientist,39,Male,9833,3,3,16
EMP-03021,Analyst,36,Male,6417,1,3,13
EMP-03022,HR Specialist,33,Male,6682,2,3,12
EMP-03031,Analyst,40,Male,8973,2,4,13
EMP-03033,HR Specialist,44,Male,8968,3,3,10
EMP-03035,Manager,42,Female,7055,3,3,16
EMP-03047,Manager,42,Female,10406,3,2,12
EMP-03057,HR Specialist,33,Female,7738,1,2,8
EMP-03059,Software Engineer,51,Male,13405,3,3,28
EMP-03060,Software Engineer,42,Female,9073,3,2,12
EMP-03064,Software Engineer,39,Female,6928,3,3,18
EMP-03073,Manager,45,Male,10649,1,3,10
EMP-03080,Sales Executive,34,Female,4972,2,1,5
EMP-03083,Software Engineer,40,Female,9661,2,3,13
EMP-03091,Manager,49,Female,10022,3,1,21
EMP-03092,Analyst,40,Female,8806,2,3,20
EMP-03093,Analyst,31,Male,4975,1,1,3
EMP-03104,Manager,38,Male,10219,3,2,11
EMP-03113,Data Scientist,41,Female,8663,3,4,17
EMP-03120,Data Scientist,47,Female,7752,1,4,26
EMP-03130,HR Specialist,37,Male,7998,4,2,13
EMP-03138,HR Specialist,35,Male,6136,1,4,7
EMP-03143,Sales Executive,33,Male,6348,1,2,8
EMP-03144,Software Engineer,34,Male,9893,4,2,13
EMP-03150,Software Engineer,36,Male,9585,3,3,11
EMP-03151,Manager,46,Female,9225,2,4,17
EMP-03155,Sales Executive,44,Female,7176,3,3,16
EMP-03161,Data Scientist,44,Male,9233,2,3,15
EMP-03164,Manager,47,Male,8732,1,2,20
EMP-03180,Data Scientist,38,Female,6297,2,2,12
EMP-03186,Analyst,28,Female,8854,1,4,7
EMP-03196,Analyst,40,Female,9118,3,4,17
EMP-03200,Software Engineer,33,Female,6866,2,4,10
EMP-03209,Software Engineer,48,Female,8412,2,3,18
EMP-03231,HR Specialist,36,Female,6812,1,2,15
EMP-03233,Analyst,36,Female,6365,3,2,10
EMP-03249,HR Specialist,32,Male,6625,2,4,9
EMP-03258,HR Specialist,39,Female,7451,1,3,11
EMP-03263,HR Specialist,44,Female,10582,2,1,22
EMP-03272,Data Scientist,46,Female,8641,4,2,21
EMP-03274,Sales Executive,39,Female,10279,3,2,16
